"Timestamp","Any other feedback?"
"2026/04/23 3:59:59 pm EET",""
"2026/04/23 4:00:49 pm EET",""
"2026/04/23 4:01:30 pm EET","Really good course. Good balance between Python and the cluster. Getting familiar with the cluster was more relevant to me, but other aspects of the course were still well taught irrespective.  "
"2026/04/23 4:02:27 pm EET","I think the afternoon was rather too compact and not much time to actually practice anything. I would first maybe make sure that everyone can get the different modules/packages installed. I spent most of my time just trying to do that instead of completing the practical parts....Again like yesterday, not clear what the lecture is about really"
"2026/04/23 4:09:01 pm EET","I still cannot login to ThinLinc even after yesterday's objective problem. That makes big gaps in doing exercises."
