#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
K2-108 b,1557.0,12.339,Gas Giant,2017,59.43,5.3312,0.0581,0.012867898,0.18,Transit
K2-10 b,888.0,12.429,Neptune-like,2015,27.0,3.8416,0.137,0.05284052,0.31,Transit
K2-110 b,380.0,11.985,Super Earth,2017,16.7,2.5536,0.1027,0.038056124,0.08,Transit
K2-111 b,654.0,11.13,Super Earth,2017,5.29,1.82,0.057,0.014784395,0.13,Transit
K2-111 c,654.0,11.13,Neptune-like,2020,11.3,3.3712,0.1166,0.04298426,0.07,Radial Velocity
K2-113 b,2074.0,13.744,Gas Giant,2017,410.22,12.1296,0.0642,0.015879534,,Transit
K2-114 b,1552.0,14.55,Gas Giant,2017,639.18,10.4384,0.0943,0.031211497,0.08,Transit
K2-115 b,1349.0,13.444,Gas Giant,2017,267.12,12.0512,0.143,0.05557837,0.14,Transit
K2-116 b,161.0,10.8,Terrestrial,2017,0.26,0.69,0.048,0.012867898,0.06,Transit
K2-117 b,332.0,14.639,Super Earth,2017,4.78,2.03,0.0189,0.003559206,0.06,Transit
K2-117 c,332.0,14.639,Super Earth,2017,4.9,2.06,0.0492,0.014784395,0.15,Transit
K2-118 b,1049.0,14.0,Neptune-like,2017,6.99,2.5424,0.245,0.13935661,0.2,Transit
K2-119 b,1193.0,14.818,Neptune-like,2017,6.94,2.5312,0.0698,0.021081451,0.07,Transit
K2-11 b,1074.0,13.409,Gas Giant,2015,44.52,7.5488,0.2257,0.10924025,,Transit
K2-120 b,944.0,14.092,Super Earth,2017,4.7,2.01,0.078,0.026283368,0.14,Transit
K2-121 b,553.0,13.229,Gas Giant,2017,44.2,7.5152,0.0629,0.014236824,0.22,Transit
K2-122 b,235.0,13.105,Super Earth,2017,1.65,1.16,0.0373,0.006023272,0.21,Transit
K2-123 b,527.0,14.781,Neptune-like,2017,8.05,2.7552,0.1649,0.08487337,0.06,Transit
K2-124 b,458.0,16.692,Neptune-like,2017,8.75,2.9008,0.049,0.017522246,0.08,Transit
K2-125 b,405.0,16.4,Neptune-like,2017,5.39,2.18,0.121,0.059685145,0.08,Transit
K2-126 b,336.0,12.759,Super Earth,2017,4.54,1.97,0.0656,0.020260096,0.06,Transit
K2-127 b,2316.0,15.041,Gas Giant,2017,53.11,8.3664,0.0411,0.009856262,0.12,Transit
K2-128 b,374.0,12.58,Super Earth,2017,2.6,1.42,0.056,0.015605749,0.23,Transit
K2-129 b,91.0,13.639,Super Earth,2017,1.12,1.04,0.057,0.022450376,0.13,Transit
K2-12 b,1065.0,12.38,Neptune-like,2015,6.04,2.3296,0.0802,0.022724163,,Transit
K2-130 b,385.0,12.676,Super Earth,2017,2.1,1.25,0.032,0.006844627,0.17,Transit
K2-131 b,497.0,12.129,Super Earth,2017,6.3,1.5,0.0095,0.00109514,,Transit
K2-132 b,1989.0,12.071,Gas Giant,2017,155.82,14.56,0.0916,0.025188226,0.29,Transit
K2-133 b,245.0,14.073,Super Earth,2017,2.36,1.34,0.03194,0.008487337,,Transit
K2-133 c,245.0,14.073,Super Earth,2017,3.2,1.603,0.04341,0.013415469,,Transit
