#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,6169.2,12.096,1.29,0.8925394,0.23,Radial Velocity
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,4687.32,12.208,1.53,1.4,0.08,Radial Velocity
14 Andromedae b,246.0,5.23133,Gas Giant,2008,1526.4,12.88,0.83,0.5086927,,Radial Velocity
14 Herculis b,58.0,6.61935,Gas Giant,2002,2588.14,12.544,2.773069,4.8,0.37,Radial Velocity
16 Cygni B b,69.0,6.215,Gas Giant,1996,566.04,13.44,1.66,2.2,0.68,Radial Velocity
17 Scorpii b,408.0,5.22606,Gas Giant,2020,1373.76,12.88,1.45,1.6,0.06,Radial Velocity
18 Delphini b,249.0,5.51048,Gas Giant,2008,3275.4,12.432,2.6,2.7,0.08,Radial Velocity
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,2544.0,18.6368,330.0,6505.9,,Direct Imaging
24 Bootis b,313.0,5.59,Gas Giant,2018,289.38,13.888,0.19,0.08323066,0.04,Radial Velocity
24 Sextantis b,235.0,6.4535,Gas Giant,2010,632.82,13.328,1.333,1.2396988,0.09,Radial Velocity
24 Sextantis c,235.0,6.4535,Gas Giant,2010,273.48,13.888,2.08,2.4,0.29,Radial Velocity
2M0437 b,419.0,16.186,Gas Giant,2021,1272.0,12.992,118.0,3110.6,,Direct Imaging
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,4134.0,12.32,84.0,1767.2,,Direct Imaging
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,7791.0,11.2,52.0,593.2,,Direct Imaging
2MASS J02192210-3925225 b,131.0,,Gas Giant,2015,4420.2,16.128,156.0,5878.1,,Direct Imaging
2MASS J04414489+2301513 b,393.0,,Gas Giant,2010,2385.0,12.656,15.0,411.0,,Direct Imaging
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,1590.0,12.88,55.0,2885.9,,Direct Imaging
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,604.2,13.44,0.92,1.1115674,0.33,Eclipse Timing Variations
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,3975.0,12.32,230.0,4505.7,,Direct Imaging
30 Arietis B b,146.0,7.09209,Gas Giant,2009,4394.76,12.32,0.99,0.9174538,0.29,Radial Velocity
42 Draconis b,296.0,4.8262,Gas Giant,2008,1233.84,12.992,1.19,1.3117043,0.38,Radial Velocity
47 Ursae Majoris b,45.0,5.03352,Gas Giant,1996,804.54,13.216,2.1,3.0,0.03,Radial Velocity
47 Ursae Majoris c,45.0,5.03352,Gas Giant,2001,171.72,14.224,3.6,6.6,0.1,Radial Velocity
47 Ursae Majoris d,45.0,5.03352,Gas Giant,2009,521.52,13.44,11.6,38.4,0.16,Radial Velocity
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,2257.8,12.656,0.87,0.7373032,0.43,Radial Velocity
51 Eridani b,97.0,5.21149,Gas Giant,2015,636.0,13.328,13.2,32.0,0.45,Direct Imaging
51 Pegasi b,50.0,5.45309,Gas Giant,1995,146.28,14.224,0.0527,0.011498973,0.01,Radial Velocity
55 Cancri b,41.0,5.95084,Gas Giant,1996,264.13,13.888,0.1134,0.040246405,,Radial Velocity
55 Cancri c,41.0,5.95084,Gas Giant,2004,54.51,8.512,0.2373,0.12156058,0.03,Radial Velocity
55 Cancri d,41.0,5.95084,Gas Giant,2002,1233.2,12.992,5.957,15.3,0.13,Radial Velocity
55 Cancri e,41.0,5.95084,Super Earth,2004,7.99,1.875,0.01544,0.001916496,0.05,Radial Velocity
55 Cancri f,41.0,5.95084,Gas Giant,2007,44.84,7.5824,0.7708,0.7115674,0.08,Radial Velocity
61 Virginis b,28.0,4.6955,Neptune-like,2009,5.1,2.11,0.050201,0.011498973,0.12,Radial Velocity
61 Virginis c,28.0,4.6955,Neptune-like,2009,18.2,4.4576,0.2175,0.10403833,0.14,Radial Velocity
61 Virginis d,28.0,4.6955,Neptune-like,2009,22.9,5.1072,0.476,0.33675563,0.35,Radial Velocity
6 Lyncis b,178.0,5.87307,Gas Giant,2008,639.18,13.328,2.11,2.6,0.07,Radial Velocity
70 Virginis b,58.0,4.96808,Gas Giant,1996,2381.82,12.656,0.481,0.31950718,0.4,Radial Velocity
75 Ceti b,271.0,5.3532,Gas Giant,2012,954.0,13.104,2.1,1.9,0.12,Radial Velocity
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,588.3,13.44,1.758,2.0,0.06,Radial Velocity
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,276.66,13.888,2.153,2.7,0.08,Radial Velocity
81 Ceti b,330.0,5.64307,Gas Giant,2008,1685.4,12.768,2.5,2.6,0.21,Radial Velocity
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,416.58,13.664,0.49,0.25571528,0.06,Radial Velocity
91 Aquarii b,144.0,4.23946,Gas Giant,2013,1017.6,13.104,0.7,0.4966461,0.03,Radial Velocity
AB Aurigae b,529.0,7.076,Gas Giant,2022,2862.0,12.544,93.9,587.7,0.4,Direct Imaging
AB Pictoris b,163.0,9.13,Gas Giant,2005,4293.0,12.32,260.0,4421.7,,Direct Imaging
Alpha Arietis b,66.0,2.00538,Gas Giant,2010,572.4,13.44,1.2,1.0425736,0.25,Radial Velocity
Alpha Tauri b,67.0,0.872,Gas Giant,2015,2057.46,12.656,1.46,1.7,0.1,Radial Velocity
AU Microscopii b,32.0,8.81,Neptune-like,2020,20.12,4.0656,0.0645,0.023271732,0.19,Transit
AU Microscopii c,32.0,8.81,Neptune-like,2021,9.6,3.2368,0.1101,0.051745377,0.04,Transit
b Centauri AB b,320.0,4.01,Gas Giant,2021,3466.2,12.432,556.0,4904.1,0.4,Direct Imaging
BD-00 4475 b,139.0,9.01,Gas Giant,2021,7965.9,11.984,1.48,2.0,0.39,Radial Velocity
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,2035.2,12.656,1.3,1.3193703,0.2,Radial Velocity
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,2.8448,0.0428,0.010677618,,Radial Velocity
BD-06 1339 c,66.0,9.7,Gas Giant,2013,54.06,8.3664,0.435,0.34469542,0.31,Radial Velocity
BD-08 2823 b,135.0,9.86,Neptune-like,2009,12.71,3.6064,0.06,0.015331964,0.15,Radial Velocity
BD-08 2823 c,135.0,9.86,Gas Giant,2009,104.94,12.432,0.68,0.65051335,0.19,Radial Velocity
BD-10 3166 b,275.0,10.013,Gas Giant,2000,187.62,14.112,0.04,0.009582478,0.02,Radial Velocity
BD-11 4672 b,89.0,10.03,Gas Giant,2014,206.7,14.0,2.36,4.5,0.05,Radial Velocity
BD-11 4672 c,89.0,10.03,Neptune-like,2020,15.37,4.032,0.3,0.20314851,0.4,Radial Velocity
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,3110.04,12.432,1.66,2.0,0.21,Radial Velocity
BD+14 4559 b,161.0,9.78,Gas Giant,2009,330.72,13.776,0.78,0.7362081,0.29,Radial Velocity
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,337.4,13.776,0.576,0.41943872,,Radial Velocity
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,352.98,13.776,0.539,0.37645447,0.26,Radial Velocity
BD-17 63 b,112.0,9.62,Gas Giant,2008,1621.8,12.88,1.34,1.8,0.54,Radial Velocity
BD+20 2457 b,5023.0,9.743,Gas Giant,2009,17677.62,11.536,1.05,1.0392882,0.15,Radial Velocity
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,3965.46,12.32,2.01,1.7,0.18,Radial Velocity
BD+20 274 b,4314.0,9.367,Gas Giant,2012,1335.6,12.992,1.3,1.6,0.21,Radial Velocity
BD+20 594 b,585.0,10.849,Neptune-like,2016,22.25,2.576,0.241,0.11416838,,Transit
BD+45 564 b,175.0,9.67,Gas Giant,2021,432.48,13.552,0.83,0.84298426,0.12,Radial Velocity
BD+48 738 b,2843.0,9.139,Gas Giant,2011,289.38,13.888,1.0,1.0748802,0.2,Radial Velocity
BD+48 740 b,2174.0,8.69,Gas Giant,2018,540.6,13.44,1.7,2.0,0.76,Radial Velocity
BD+49 828 b,1442.0,9.381,Gas Giant,2015,508.8,13.552,4.2,7.1,0.35,Radial Velocity
BD+55 362 b,171.0,9.38,Gas Giant,2021,228.96,14.0,0.78,0.7271732,0.27,Radial Velocity
BD+60 1417 b,147.0,9.374,Gas Giant,2021,4770.0,14.672,1662.0,67794.6,,Direct Imaging
BD+63 1405 b,124.0,8.96,Gas Giant,2021,1259.28,12.992,2.06,3.3,0.88,Radial Velocity
Beta Cancri b,290.0,3.51012,Gas Giant,2014,2480.4,12.544,1.7,1.7,0.08,Radial Velocity
Beta Pictoris b,64.0,3.85,Gas Giant,2008,3731.14,18.48,10.019926,23.6,0.11,Direct Imaging
Beta Pictoris c,64.0,3.85,Gas Giant,2019,3224.88,12.432,2.680483,3.3,0.31,Radial Velocity
Beta Ursae Minoris b,126.0,2.0569,Gas Giant,2014,1939.8,12.768,1.4,1.4,0.19,Radial Velocity
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,1.82,0.0185,0.006297057,,Radial Velocity
CFBDSIR J145829+101343 b,75.0,,Gas Giant,2011,3339.0,12.432,2.6,27.5,,Direct Imaging
CFHTWIR-Oph 98 b,,,Gas Giant,2021,2480.4,20.832,200.0,22027.4,,Direct Imaging
CHXR 73 b,621.0,,Gas Giant,2006,3996.94,12.32,210.0,5146.9,,Direct Imaging
CI Tauri b,515.0,13.642,Gas Giant,2019,3688.8,12.432,,0.024640657,0.25,Radial Velocity
COCONUTS-2 b,36.0,11.298,Gas Giant,2021,2003.4,12.432,7506.0,1101369.9,,Direct Imaging
CoRoT-10 b,1104.0,15.293,Gas Giant,2010,874.5,10.864,0.1055,0.03613963,0.53,Transit
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,740.94,16.016,0.0436,0.008213553,,Transit
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,291.61,16.128,0.04016,0.007665982,0.07,Transit
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,415.94,9.912,0.051,0.010951404,,Transit
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,2416.8,12.208,0.027,0.004106776,,Transit
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,170.13,13.104,0.0618,0.014784395,0.33,Transit
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,772.74,11.424,0.0461,0.010403832,,Transit
CoRoT-18 b,2495.0,14.868,Gas Giant,2011,1103.46,14.672,0.0295,0.005201916,0.08,Transit
CoRoT-19 b,2579.0,14.135,Gas Giant,2011,352.98,14.448,0.0518,0.010677618,0.05,Transit
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,327.54,16.688,0.02752,0.004106776,,Transit
CoRoT-20 b,2753.0,14.63,Gas Giant,2011,1367.4,9.408,0.09,0.025188226,0.59,Transit
CoRoT-20 c,2753.0,14.63,Gas Giant,2018,5406.0,12.208,2.9,4.6,0.6,Radial Velocity
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,718.68,14.56,0.0417,0.007392197,,Transit
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,12.2,4.872,0.092,0.026830938,0.08,Transit
CoRoT-23 b,3461.0,15.675,Gas Giant,2011,890.4,11.76,0.048,0.009856262,0.16,Transit
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,3.696,0.056,0.013963039,,Transit
CoRoT-24 c,1930.0,15.383,Neptune-like,2014,28.0,4.928,0.098,0.03230664,,Transit
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,85.86,12.096,0.0578,0.013415469,,Transit
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,165.36,14.112,0.0526,0.011498973,,Transit
CoRoT-27 b,3296.0,15.774,Gas Giant,2014,3304.02,11.2784,0.0476,0.009856262,0.065,Transit
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,153.91,10.696,0.0603,0.014236824,0.05,Transit
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,270.3,10.08,0.0386,0.007939767,0.08,Transit
CoRoT-2 b,696.0,12.516,Gas Giant,2008,1103.46,16.4192,0.02798,0.004654347,0.01,Transit
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,922.2,11.3008,0.0844,0.024914443,0.01,Transit
CoRoT-31 b,6543.0,15.479,Gas Giant,2020,267.12,16.352,0.0586,0.012594113,0.02,Transit
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,349.8,18.816,0.0429,0.008761123,,Transit
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,216.24,15.792,0.066,0.015331964,,Transit
CoRoT-3 b,2508.0,13.448,Gas Giant,2008,6887.88,11.312,0.05783,0.011772759,,Transit
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,228.96,13.328,0.09,0.025188226,,Transit
CoRoT-5 b,2879.0,14.043,Gas Giant,2009,148.51,15.5456,0.04947,0.010951404,0.09,Transit
CoRoT-6 b,2105.0,13.961,Gas Giant,2009,941.28,13.0592,0.0855,0.02436687,0.1,Transit
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.08,1.681,0.017016,0.002464066,,Transit
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,2.8336,0.046,0.010130048,,Radial Velocity
CoRoT-7 d,522.0,11.728,Neptune-like,2022,17.14,4.3008,,0.024640657,,Radial Velocity
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,69.96,6.384,0.063,0.016974675,,Transit
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,267.12,11.9392,0.4021,0.2609172,0.13,Transit
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,47.7,6.384,0.071,0.0183436,,Transit
CT Chamaleontis b,622.0,12.335,Gas Giant,2007,5406.0,24.64,440.0,0.99931556,,Direct Imaging
DE Canum Venaticorum b,100.0,12.956,Gas Giant,2018,3825.32,12.32,5.75,11.2,,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,68.0,,Gas Giant,2013,9063.0,11.872,0.36,0.67460644,0.35,Astrometry
DH Tauri b,440.0,13.98,Gas Giant,2004,3498.0,30.24,330.0,10441.5,,Direct Imaging
DMPP-1 b,204.0,7.98,Neptune-like,2019,24.27,5.2864,0.1462,0.050924025,0.083,Radial Velocity
DMPP-1 c,204.0,7.98,Neptune-like,2019,9.6,3.0576,0.0733,0.018069815,0.057,Radial Velocity
DMPP-1 d,204.0,7.98,Super Earth,2019,3.35,1.65,0.0422,0.007939767,0.07,Radial Velocity
DMPP-1 e,204.0,7.98,Super Earth,2019,4.13,1.86,0.0651,0.015058179,0.07,Radial Velocity
DMPP-2 b,450.0,8.57,Gas Giant,2019,138.97,14.336,0.0664,0.014236824,0.08,Radial Velocity
DMPP-3 A b,148.0,9.066,Super Earth,2019,2.58,1.41,0.0662,0.0183436,0.14,Radial Velocity
DP Leonis b,997.0,18.6837,Gas Giant,2009,1997.04,12.768,8.19,28.0,0.39,Eclipse Timing Variations
DS Tucanae A b,144.0,8.17,Neptune-like,2019,413.4,5.7008,,0.022176592,,Transit
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,1.047,0.0349,0.018617386,,Transit
EPIC 201238110 b,520.0,16.014,Super Earth,2019,4.16,1.87,,0.077207394,,Transit
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,2.86,1.5,,0.001916496,,Transit
EPIC 201497682 b,825.0,13.948,Terrestrial,2019,0.26,0.692,,0.005749486,,Transit
EPIC 201595106 b,757.0,11.746,Super Earth,2021,2.24,1.3,,0.002464066,,Transit
EPIC 201615463 c,1556.0,12.081,Super Earth,2019,1.98,1.22,,0.010403832,,Transit
EPIC 201754305 d,1093.0,14.668,Super Earth,2019,1.08,1.03,,0.007392197,,Transit
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.69,0.908,0.0296,0.005475702,,Transit
EPIC 201833600 c,840.0,14.705,Terrestrial,2019,0.97,1.0,,0.010951404,,Transit
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,1.04,0.035,0.011498973,,Transit
EPIC 205950854 c,796.0,12.365,Super Earth,2019,2.27,1.31,,0.022176592,,Transit
EPIC 206024342 b,1207.0,13.096,Super Earth,2019,3.53,1.7,,0.012320329,,Transit
EPIC 206024342 c,1207.0,13.096,Super Earth,2021,2.54,1.4,,0.002464066,,Transit
EPIC 206024342 d,1207.0,13.096,Neptune-like,2021,7.27,2.5984,,0.039972622,,Transit
EPIC 206032309 b,526.0,17.89,Super Earth,2019,1.01,1.01,,0.007939767,,Transit
EPIC 206042996 b,1474.0,16.59,Super Earth,2019,3.53,1.7,,0.01451061,,Transit
EPIC 206042996 c,1474.0,16.59,Super Earth,2021,1.87,1.2,,0.00109514,,Transit
EPIC 206215704 b,358.0,17.83,Terrestrial,2019,0.97,1.0,,0.006297057,,Transit
EPIC 206317286 b,1025.0,14.005,Terrestrial,2019,0.84,0.96,,0.004380561,,Transit
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,5.03,2.094,,0.04791239,,Transit
EPIC 211822797 b,607.0,15.133,Super Earth,2016,4.35,1.92,0.1195,0.05804244,0.06,Transit
EPIC 211945201 b,593.0,10.154,Neptune-like,2018,27.0,5.7568,0.1493,0.05338809,,Transit
EPIC 212297394 b,1365.0,14.611,Super Earth,2019,2.79,1.48,,0.006297057,,Transit
EPIC 212297394 c,1365.0,14.611,Neptune-like,2016,5.77,2.2736,,0.014236824,,Transit
EPIC 212424622 b,1996.0,13.441,Neptune-like,2019,5.35,2.17,,0.0495551,,Transit
EPIC 212499991 b,924.0,13.672,Super Earth,2019,3.19,1.6,,0.095551,,Transit
EPIC 212587672 b,1044.0,12.488,Super Earth,2019,2.13,1.26,,0.041889116,,Transit
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,5.99,2.3184,,0.06351814,,Transit
EPIC 212624936 b,1833.0,13.976,Super Earth,2021,1.87,1.2,,0.001642711,,Transit
EPIC 212624936 c,1833.0,13.976,Neptune-like,2021,5.9,2.296,,0.03230664,,Transit
EPIC 212737443 b,1097.0,14.81,Neptune-like,2019,7.2,2.5872,0.098,0.037234772,0.2,Transit
EPIC 212737443 c,1097.0,14.81,Neptune-like,2019,7.7,2.688,0.28,0.17960301,0.2,Transit
EPIC 220492298 b,2037.0,13.991,Terrestrial,2021,0.94,0.99,,0.002190281,,Transit
EPIC 220554210 c,1619.0,14.21,Super Earth,2019,3.19,1.6,,0.001916496,,Transit
EPIC 220674823 b,798.0,12.101,Super Earth,2016,7.72,1.6,0.01312,0.001642711,,Transit
EPIC 220674823 c,798.0,12.101,Neptune-like,2016,5.8,2.2,0.1091,0.036413416,0.18,Transit
EPIC 228836835 b,490.0,16.77,Super Earth,2021,1.37,1.1,,0.001916496,,Transit
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,954.0,11.7712,0.07229,0.016974675,,Transit
EPIC 248847494 b,1800.0,12.353,Gas Giant,2018,4134.0,12.432,4.5,10.0,,Transit
EPIC 249893012 b,1048.0,11.429,Super Earth,2020,8.75,1.95,0.047,0.009856262,0.06,Transit
EPIC 249893012 c,1048.0,11.429,Neptune-like,2020,14.67,3.6624,0.13,0.042710472,0.07,Transit
EPIC 249893012 d,1048.0,11.429,Neptune-like,2020,10.18,3.9424,0.22,0.097741276,0.15,Transit
Epsilon Coronae Borealis b,228.0,4.12577,Gas Giant,2012,2130.6,12.656,1.3,1.1441479,0.11,Radial Velocity
Epsilon Eridani b,10.0,3.71548,Gas Giant,2000,209.88,14.0,3.53,7.3,0.07,Radial Velocity
Epsilon Indi A b,12.0,4.69,Gas Giant,2019,1033.5,13.104,11.55,45.2,0.26,Radial Velocity
Epsilon Tauri b,155.0,3.523,Gas Giant,2006,2416.8,12.656,1.93,1.6,0.15,Radial Velocity
FU Tauri b,435.0,,Gas Giant,2008,5088.0,12.208,800.0,101250.8,,Direct Imaging
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,1.39,0.02279,0.006297057,,Radial Velocity
G 264-012 c,52.0,13.078,Super Earth,2021,3.75,1.76,0.0525,0.022176592,,Radial Velocity
G 9-40 b,91.0,13.821,Super Earth,2019,4.76,2.025,0.0385,0.015605749,,Transit
Gaia-1 b,1186.0,13.242,Gas Giant,2022,534.24,13.7648,0.04047,0.008487337,,Transit
Gaia-2 b,683.0,11.277,Gas Giant,2022,259.81,14.8064,0.0467,0.010130048,,Transit
gam1 Leonis b,130.0,1.99509,Gas Giant,2009,2792.04,12.544,1.19,1.173169,0.14,Radial Velocity
Gamma Cephei b,46.0,3.23006,Gas Giant,2003,2989.2,12.544,2.05,2.5,0.05,Radial Velocity
Gamma Librae b,155.0,3.90672,Gas Giant,2018,324.36,13.776,1.24,1.1367557,0.21,Radial Velocity
Gamma Librae c,155.0,3.90672,Gas Giant,2018,1456.44,12.88,2.17,2.6,0.06,Radial Velocity
Gamma Piscium b,135.0,3.69252,Gas Giant,2021,426.12,13.664,1.32,1.5,0.2,Radial Velocity
GJ 1002 b,16.0,13.76,Super Earth,2022,1.08,1.03,0.0457,0.028199865,,Radial Velocity
GJ 1002 c,16.0,13.76,Super Earth,2022,1.36,1.1,0.0738,0.05804244,,Radial Velocity
GJ 1061 b,12.0,12.7,Super Earth,2020,1.37,1.1,0.021,0.008761123,0.31,Radial Velocity
GJ 1061 c,12.0,12.7,Super Earth,2020,1.74,1.18,0.035,0.0183436,0.29,Radial Velocity
GJ 1061 d,12.0,12.7,Super Earth,2020,1.64,1.16,0.054,0.03559206,0.53,Radial Velocity
GJ 1132 b,41.0,13.68,Super Earth,2015,1.66,1.13,0.0153,0.004380561,0.22,Transit
GJ 1132 c,41.0,13.68,Super Earth,2018,2.64,1.43,0.0476,0.02436687,0.27,Radial Velocity
GJ 1148 b,36.0,11.939,Gas Giant,2010,96.75,11.984,0.166,0.113347024,0.38,Radial Velocity
GJ 1148 c,36.0,11.939,Gas Giant,2017,68.1,9.6992,0.912,1.5,0.34,Radial Velocity
GJ 1151 c,26.0,13.76,Neptune-like,2023,10.62,3.248,0.5714,1.0669404,,Radial Velocity
GJ 1214 b,48.0,15.1,Neptune-like,2009,8.17,2.744,0.0149,0.004380561,0.063,Transit
GJ 1252 b,66.0,12.68,Super Earth,2020,1.32,1.18,0.00915,0.001368925,,Transit
GJ 1265 b,33.0,14.01,Neptune-like,2018,7.4,2.6208,0.026,0.010130048,0.04,Radial Velocity
GJ 143 b,53.0,8.08,Neptune-like,2019,22.7,2.6096,0.1915,0.09746748,0.19,Transit
GJ 15 A b,12.0,8.09,Super Earth,2014,3.03,1.55,0.072,0.031211497,0.09,Radial Velocity
GJ 15 A c,12.0,8.09,Neptune-like,2018,36.0,6.664,5.4,20.8,0.27,Radial Velocity
GJ 160.2 b,84.0,9.7,Neptune-like,2014,10.2,3.1696,0.053,0.014236824,0.06,Radial Velocity
GJ 163 b,49.0,11.79,Neptune-like,2013,10.6,3.248,0.0607,0.023545519,0.07,Radial Velocity
GJ 163 c,49.0,11.79,Neptune-like,2013,6.8,2.4976,0.1254,0.07008898,0.1,Radial Velocity
GJ 163 d,49.0,11.79,Neptune-like,2013,29.4,5.9136,1.0304,1.7,0.37,Radial Velocity
GJ 179 b,40.0,11.963,Gas Giant,2009,260.76,13.888,2.41,6.3,0.21,Radial Velocity
GJ 180 b,39.0,10.914,Neptune-like,2014,6.49,2.4304,0.092,0.04681725,0.07,Radial Velocity
GJ 180 c,39.0,10.914,Neptune-like,2014,6.4,2.408,0.129,0.06652977,0.09,Radial Velocity
GJ 180 d,39.0,10.914,Neptune-like,2020,7.56,2.6544,0.309,0.29103354,0.14,Radial Velocity
GJ 2030 b,121.0,6.20902,Super Earth,2022,4.59,1.98,0.034411,0.006570842,0.24,Radial Velocity
GJ 2030 c,121.0,6.20902,Gas Giant,2022,4070.04,12.32,16.763449,70.0,0.04,Radial Velocity
GJ 2056 b,93.0,10.37,Neptune-like,2020,16.2,4.1664,0.283,0.19164956,0.72,Radial Velocity
GJ 229 A c,19.0,8.15,Neptune-like,2020,8.58,2.8672,0.384214,0.33374402,0.37,Radial Velocity
GJ 229 b,19.0,8.15,Neptune-like,2014,14.85,3.9536,1.086215,1.6,0.4,Radial Velocity
GJ 251 b,18.0,9.89,Super Earth,2020,4.0,1.83,0.0818,0.03887748,0.1,Radial Velocity
GJ 27.1 b,77.0,11.45,Neptune-like,2014,13.0,3.6624,0.101,0.04325804,0.08,Radial Velocity
GJ 273 b,19.0,9.84,Super Earth,2017,2.89,1.51,0.091101,0.050924025,0.1,Radial Velocity
GJ 273 c,19.0,9.84,Super Earth,2017,1.18,1.06,0.036467,0.012867898,0.17,Radial Velocity
GJ 3021 b,57.0,6.59,Gas Giant,2000,1071.66,13.104,0.49,0.36605063,0.51,Radial Velocity
GJ 3082 b,54.0,11.041,Neptune-like,2020,8.2,2.7888,0.079,0.032580424,0.22,Radial Velocity
GJ 3090 b,73.0,11.403,Neptune-like,2022,3.34,2.13,0.03165,0.007939767,0.32,Transit
GJ 3138 b,93.0,10.8275,Super Earth,2017,1.78,1.18,0.0197,0.003285421,0.19,Radial Velocity
GJ 3138 c,93.0,10.8275,Super Earth,2017,4.18,1.88,0.057,0.016427105,0.11,Radial Velocity
GJ 3138 d,93.0,10.8275,Neptune-like,2017,10.5,3.2256,0.698,0.7058179,0.32,Radial Velocity
GJ 317 b,50.0,12.4,Gas Giant,2007,795.0,13.216,1.151,1.9,0.07,Radial Velocity
GJ 317 c,50.0,12.4,Gas Giant,2018,522.78,13.44,5.23,18.5,0.17,Radial Velocity
GJ 3222 b,59.0,6.9,Neptune-like,2022,11.74,3.4496,0.091179,0.029295003,0.93,Radial Velocity
GJ 328 b,67.0,9.99,Gas Giant,2013,731.4,13.328,4.5,11.2,0.37,Radial Velocity
GJ 3293 b,66.0,11.945,Neptune-like,2015,23.54,5.1856,0.14339,0.08377823,0.06,Radial Velocity
GJ 3293 c,66.0,11.945,Neptune-like,2015,21.09,4.8608,0.36175,0.33566052,0.11,Radial Velocity
GJ 3293 d,66.0,11.945,Neptune-like,2017,7.6,2.6656,0.19394,0.13169062,0.12,Radial Velocity
GJ 3293 e,66.0,11.945,Super Earth,2017,3.28,1.63,0.08208,0.036413416,0.21,Radial Velocity
GJ 3323 b,18.0,12.57,Super Earth,2017,2.02,1.23,0.03282,0.014784395,0.23,Radial Velocity
GJ 3323 c,18.0,12.57,Super Earth,2017,2.31,1.32,0.1264,0.11088296,0.17,Radial Velocity
GJ 3341 b,77.0,12.062,Neptune-like,2015,6.6,2.4528,0.089,0.03887748,0.31,Radial Velocity
GJ 338 B b,21.0,7.7,Neptune-like,2020,10.6,3.248,0.142,0.06680356,0.11,Radial Velocity
GJ 3470 b,96.0,12.332,Neptune-like,2012,13.9,4.5696,0.0355,0.009034907,0.02,Radial Velocity
GJ 3473 b,89.0,13.74,Super Earth,2020,1.86,1.264,0.01589,0.003285421,,Transit
GJ 3473 c,89.0,13.74,Neptune-like,2020,7.41,2.632,0.0876,0.042436685,,Radial Velocity
GJ 3512 b,31.0,15.18,Gas Giant,2019,146.28,14.224,0.337,0.5577002,0.44,Radial Velocity
GJ 3512 c,31.0,15.18,Gas Giant,2020,63.6,9.3184,1.292,4.4,0.02,Radial Velocity
GJ 357 b,31.0,10.91,Super Earth,2019,1.84,1.217,0.035,0.010677618,,Transit
GJ 357 c,31.0,10.91,Super Earth,2019,3.4,1.66,0.061,0.024914443,,Radial Velocity
GJ 357 d,31.0,10.91,Neptune-like,2019,6.1,2.3408,0.204,0.15249829,,Radial Velocity
