I can read and write tabular data with Pandas,"I can work (i.e. inspect, clean, sort, etc) on my data with Pandas",I can make a plot with Seaborn,I can write a batch script,I can submit a script to the job scheduler,I can decide on useful file formats for big data,I can make a plot with matplotlib,"Overall, how would you rate this training event?","What do you think about the pace of teaching overall today? 

","Would you recommend this course to your colleagues?
","Which future training topics would you like to be provided by the training host(s)?
","Do you have any additional comments?

Suggestions/ideas:

- What did you like best? (materials, exercises, structure)
- Where should we improve? (materials, exercises, structure)
- Training organi...",Last modified time
I have some confidence I can do this,I have some confidence I can do this,I have low confidence I can do this,I have some confidence I can do this,I have good confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,8,good,Yes,,"more cases, like, an oom killed job , how to seff it and solve the issue to run it properly",
I have low confidence I can do this,I have some confidence I can do this,I have good confidence I can do this,I have low confidence I can do this,I have good confidence I can do this,I have low confidence I can do this,I have good confidence I can do this,6,good,Yes,,,
I have some confidence I can do this,I have low confidence I can do this,I have some confidence I can do this,I have good confidence I can do this,I have good confidence I can do this,I have low confidence I can do this,I have good confidence I can do this,6,"Richèl's sessions had a good pace, the rest were way too fast with too little time for exercises and too little time for breaks.",No,,"Use Richèl's teaching style for all topics. Keep the amount of content in the course as it is, but spread it over 5 days instead of 4 days. There's simply way too much to go through, way to many potential technical difficulties that take time, and way too little time to do exercises to actually absorb all the content and enjoy the learning process. And I would suggest that the course on how to connect and work in an HPC environment be moved to before this course during the same semester, so that people don't have to deal with having to learn that at the same time. Right now the ""Online training events for new users: NAISS Introduction training days"" course is after this course during the semester, which makes little sense considering that its contents should be a prerequisite for this course.",
I have low confidence I can do this,I have no confidence I can do this,I have no confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,7,more practice ,Not sure,We did not even get to practice what is already in the course properly ," Where should we improve? materials, exercises, and structure",
I have some confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,I have no confidence I can do this,I have no confidence I can do this,I have no confidence I can do this,I have some confidence I can do this,6,,Yes,,,
I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I have some confidence I can do this,I can absolutely do this!,8,good ,Yes,GNNs,,
I have good confidence I can do this,I have good confidence I can do this,I have good confidence I can do this,I have good confidence I can do this,I have good confidence I can do this,I have some confidence I can do this,I have good confidence I can do this,9,"Good, did well balancing levels across a large group",Yes,,"For me personally, the time spent interacting with the cluster and getting familiarised was the most useful. This is personaly though an I'm not sure whether this would be the case across the board. ",
I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I can absolutely do this!,I have some confidence I can do this,I can absolutely do this!,7,,Not sure,,"Today (day3), the topics were more of what I expected from an Introduction to Python and Using Python in an HPC environment course. The morning session about pandas, matplotlib and seaborn was interesting, as well as the big data with python. I will probably use Dask in the future so it was a good explanation of how Dask works. I still don't understand the time spent talking about bash and sending jobs. We could use that time learning and using common python packages in an HPC cluster.",
I have good confidence I can do this,I have good confidence I can do this,I can absolutely do this!,I have some confidence I can do this,I have some confidence I can do this,I have no confidence I can do this,I can absolutely do this!,7,"I like the way that Richèl is teaching. He makes the concepts clear and you can follow his instructions and learn. However, I cannot follow the class when Bjorn is teaching, I feel very lost. ",Yes,More information about how analyze big data such as genomic or transcriptomic data.,"It think that we need more documentation about Dardel. Also, we need more hands-ons and demonstrations.",
I have good confidence I can do this,I have some confidence I can do this,I have good confidence I can do this,I have some confidence I can do this,I have some confidence I can do this,I have low confidence I can do this,I have good confidence I can do this,8,The overall pace was OK ,Yes,-,,
I have some confidence I can do this,I have low confidence I can do this,I did not attend that session,,I have low confidence I can do this,I have some confidence I can do this,I did not attend that session,7,"Pace seems to be OK, it's probably me who is slower than the pace :)",Yes,,"I feel some exercises are not in ""step-by-step"" format that makes difficult to complete it. ",
